rank,name,area,genre,star,rvw_count,dinner_budget,lunch_budget,holiday_data,search_word,pr,review,url,total,divided,img
42,MASA’S KITCHEN 恵比寿,恵比寿駅 413m,"['中華料理', '担々麺', '四川料理', '\n              旬の素材の持ち味を最大限に引き出した枠にとらわれない中国料理\n            \nさっぱりスタイリッシュな中華でした。']",3.76,891,"<span class=""c-rating-v3__val"">￥10,000～￥14,999</span>","<span class=""c-rating-v3__val"">￥1,000～￥1,999</span>","<span class=""list-rst__holiday-text"">月曜日（※10/30(日)、11/20(日)は臨時休業...</span>",['感染症対策'],"
              旬の素材の持ち味を最大限に引き出した枠にとらわれない中国料理
            ","
さっぱりスタイリッシュな中華でした。",https://tabelog.com/tokyo/A1303/A130302/13054526/,"['中華料理', '担々麺', '四川料理', '\n              旬の素材の持ち味を最大限に引き出した枠にとらわれない中国料理\n            \nさっぱりスタイリッシュな中華でした。']","['旬', '素材', '持ち味', '最大限', '枠', '中国', '料理']","['171023545,171023551,171023343,171023547,171023542']"
46,マンサルヴァ,恵比寿駅 557m,"['イタリアン', '地中海料理', 'パスタ', '\n              洗練されたモダン空間で楽しむ上質なイタリアン。メイン2種を楽しめる新コース登場◎完全個室有\n            \n季節の恵みを存分に']",3.76,133,"<span class=""c-rating-v3__val"">￥10,000～￥14,999</span>","<span class=""c-rating-v3__val"">￥6,000～￥7,999</span>",,"['感染症対策', 'Tpoint貯まる・使える']","
              洗練されたモダン空間で楽しむ上質なイタリアン。メイン2種を楽しめる新コース登場◎完全個室有
            ","
季節の恵みを存分に",https://tabelog.com/tokyo/A1303/A130302/13114704/,"['イタリアン', '地中海料理', 'パスタ', '\n              洗練されたモダン空間で楽しむ上質なイタリアン。メイン2種を楽しめる新コース登場◎完全個室有\n            \n季節の恵みを存分に']","['洗練', 'モダン', '空間', '上質', 'イタリアン', 'メイン', '2', '種', 'コース', '登場', '完全', '個室', '有']","['97300026,86389945,97299754,86389932,97300752']"
48,しんせん 割烹 佐乃家,神泉駅 46m,"['割烹・小料理', '\n              12月1日より価格の変更を致しますので、詳しくはホームページをご確認ください\n            \n渋谷にある人気の割烹❗出汁と白米にこだわり✨✨果たして、料理のお味はいかに(*´∇｀)ﾉ']",3.76,52,"<span class=""c-rating-v3__val"">￥15,000～￥19,999</span>","<span class=""c-rating-v3__val"">-</span>","<span class=""list-rst__holiday-text"">月曜日(祝日の場合は翌火曜日休み、加えて夏季・年末年始...</span>",['感染症対策'],"
              12月1日より価格の変更を致しますので、詳しくはホームページをご確認ください
            ","
渋谷にある人気の割烹❗出汁と白米にこだわり✨✨果たして、料理のお味はいかに(*´∇｀)ﾉ",https://tabelog.com/tokyo/A1303/A130301/13203305/,"['割烹・小料理', '\n              12月1日より価格の変更を致しますので、詳しくはホームページをご確認ください\n            \n渋谷にある人気の割烹❗出汁と白米にこだわり✨✨果たして、料理のお味はいかに(*´∇｀)ﾉ']","['12', '月', '1', '日', '価格', '変更', '詳しく', 'ホームページ', '確認']","['92320861,92320863,133328339,92320857,92320866']"
52,リストランテ ASO,代官山駅 380m,"['イタリアン', 'パスタ', 'イノベーティブ・フュージョン', '\n              継承する真摯な“やさしさ”が記憶に残るひと時を刻む\n            \n雰囲気ある高級イタリアン']",3.75,420,"<span class=""c-rating-v3__val"">￥15,000～￥19,999</span>","<span class=""c-rating-v3__val"">￥8,000～￥9,999</span>",,"['感染症対策', 'Tpoint貯まる・使える']","
              継承する真摯な“やさしさ”が記憶に残るひと時を刻む
            ","
雰囲気ある高級イタリアン",https://tabelog.com/tokyo/A1303/A130303/13003356/,"['イタリアン', 'パスタ', 'イノベーティブ・フュージョン', '\n              継承する真摯な“やさしさ”が記憶に残るひと時を刻む\n            \n雰囲気ある高級イタリアン']","['継承', '真摯', 'やさし', 'さ', '記憶', 'ひと時']","['186651519,81795195,178884154,186664930,186664921']"
54,産直屋 たか,神泉駅 145m,"['居酒屋', '魚介料理・海鮮料理', '\n              直近の空席→７(水)１３(水)お席御座います。 ご予約については 当店のHPをご確認下さい。\n            \n酒好きにはまさに天国']",3.75,281,"<span class=""c-rating-v3__val"">￥10,000～￥14,999</span>","<span class=""c-rating-v3__val"">￥10,000～￥14,999</span>","<span class=""list-rst__holiday-text"">日曜日・月曜日※日月連休の場合は日曜日営業。その他 臨...</span>",,"
              直近の空席→７(水)１３(水)お席御座います。 ご予約については 当店のHPをご確認下さい。
            ","
酒好きにはまさに天国",https://tabelog.com/tokyo/A1303/A130301/13008327/,"['居酒屋', '魚介料理・海鮮料理', '\n              直近の空席→７(水)１３(水)お席御座います。 ご予約については 当店のHPをご確認下さい。\n            \n酒好きにはまさに天国']","['直近', '空席', '７', '水', '１', '３', '水', '席', '予約', '当店', 'HP', '確認']","['122304230,122304229,122304217,122355940,122356015']"
55,Coteau,代官山駅 211m,"['フレンチ', '創作料理', 'モダンフレンチ', '\n              季節ごとに選りすぐりの食材を使った素材感溢れるコースとアラカルト\n            \nスタイリッシュで居心地の良いレストラン⭐︎']",3.75,197,"<span class=""c-rating-v3__val"">￥8,000～￥9,999</span>","<span class=""c-rating-v3__val"">￥3,000～￥3,999</span>",,"['感染症対策', 'Tpoint貯まる・使える']","
              季節ごとに選りすぐりの食材を使った素材感溢れるコースとアラカルト
            ","
スタイリッシュで居心地の良いレストラン⭐︎",https://tabelog.com/tokyo/A1303/A130303/13233584/,"['フレンチ', '創作料理', 'モダンフレンチ', '\n              季節ごとに選りすぐりの食材を使った素材感溢れるコースとアラカルト\n            \nスタイリッシュで居心地の良いレストラン⭐︎']","['季節', 'ごと', '食材', '素材', '感', 'コース', 'アラカルト']","['108812839,168816987,173366706,175170441,183430598']"
56,マジカメンテ,恵比寿駅 879m,"['イタリアン', 'パスタ', '地中海料理', '\n              恵比寿の喧噪から少し離れ静寂な雰囲気の中に佇む伝統を継承する手打ちパスタと薪火焼き料理店。\n            \n種類豊富な郷土パスタは、まるで旅するイタリアン']",3.75,121,"<span class=""c-rating-v3__val"">￥10,000～￥14,999</span>","<span class=""c-rating-v3__val"">￥10,000～￥14,999</span>",,"['感染症対策', 'Tpoint貯まる・使える']","
              恵比寿の喧噪から少し離れ静寂な雰囲気の中に佇む伝統を継承する手打ちパスタと薪火焼き料理店。
            ","
種類豊富な郷土パスタは、まるで旅するイタリアン",https://tabelog.com/tokyo/A1303/A130302/13121950/,"['イタリアン', 'パスタ', '地中海料理', '\n              恵比寿の喧噪から少し離れ静寂な雰囲気の中に佇む伝統を継承する手打ちパスタと薪火焼き料理店。\n            \n種類豊富な郷土パスタは、まるで旅するイタリアン']","['恵比寿', '喧噪', '静寂', '雰囲気', '中', '伝統', '継承', '手打ち', 'パスタ', '薪', '火', '焼き', '料理', '店']","['180014609,161351983,183248659,183252079,183248680']"
57,WAJO,代官山駅 151m,"['イタリアン', 'イノベーティブ・フュージョン', '\n              長谷川稔グループのイタリアン【wajo】\n            \n長谷川稔グループの新店\u3000和の心と伊の一皿']",3.75,59,"<span class=""c-rating-v3__val"">￥30,000～￥39,999</span>","<span class=""c-rating-v3__val"">-</span>","<span class=""list-rst__holiday-text"">日曜日、月曜日</span>",['感染症対策'],"
              長谷川稔グループのイタリアン【wajo】
            ","
長谷川稔グループの新店　和の心と伊の一皿",https://tabelog.com/tokyo/A1303/A130303/13254957/,"['イタリアン', 'イノベーティブ・フュージョン', '\n              長谷川稔グループのイタリアン【wajo】\n            \n長谷川稔グループの新店\u3000和の心と伊の一皿']","['長谷川', '稔', 'グループ', 'イタリアン', 'wajo']","['145058343,187138591,187138579,187138571,158628321']"
61,レザンファン ギャテ,代官山駅 549m,"['フレンチ', 'モダンフレンチ', 'ビストロ', '\n              珠玉のフレンチを堪能《5～8名様個室有◎接待・顔合わせに》\n            \nテリーヌだけのお店じゃない！']",3.74,407,"<span class=""c-rating-v3__val"">￥15,000～￥19,999</span>","<span class=""c-rating-v3__val"">￥8,000～￥9,999</span>",,"['感染症対策', 'Tpoint貯まる・使える']","
              珠玉のフレンチを堪能《5～8名様個室有◎接待・顔合わせに》
            ","
テリーヌだけのお店じゃない！",https://tabelog.com/tokyo/A1303/A130303/13039567/,"['フレンチ', 'モダンフレンチ', 'ビストロ', '\n              珠玉のフレンチを堪能《5～8名様個室有◎接待・顔合わせに》\n            \nテリーヌだけのお店じゃない！']","['珠玉', 'フレンチ', '堪能', '5', '～', '8', '名', '様', '個室', '有', '接待', '顔合わせ']","['32294647,105700836,12476118,106466705,119257424']"
62,モノリス,渋谷駅 647m,"['フレンチ', 'モダンフレンチ', '\n              シックでモダンながら温かみのある寛ぎ空間で、季節の食材満載のフレンチを味わう\n            \nシェフ、７ツ星の給食']",3.74,273,"<span class=""c-rating-v3__val"">￥10,000～￥14,999</span>","<span class=""c-rating-v3__val"">￥5,000～￥5,999</span>",,"['感染症対策', 'Tpoint貯まる']","
              シックでモダンながら温かみのある寛ぎ空間で、季節の食材満載のフレンチを味わう
            ","
シェフ、７ツ星の給食",https://tabelog.com/tokyo/A1303/A130301/13108686/,"['フレンチ', 'モダンフレンチ', '\n              シックでモダンながら温かみのある寛ぎ空間で、季節の食材満載のフレンチを味わう\n            \nシェフ、７ツ星の給食']","['シック', 'モダン', '温かみ', '空間', '季節', '食材', '満載', 'フレンチ']","['38633496,20201541,12371009,161434536,161434532']"
64,アーティショー,恵比寿駅 661m,"['フレンチ', 'ビストロ', '\n              パーテーションで区切られたプライベート空間で、 四季を感じる恵比寿のオーセンティックフレンチ\n            \nライチョウ始まりました。']",3.74,121,"<span class=""c-rating-v3__val"">￥15,000～￥19,999</span>","<span class=""c-rating-v3__val"">￥8,000～￥9,999</span>",,"['感染症対策', 'Tpoint貯まる・使える']","
              パーテーションで区切られたプライベート空間で、 四季を感じる恵比寿のオーセンティックフレンチ
            ","
ライチョウ始まりました。",https://tabelog.com/tokyo/A1303/A130302/13042337/,"['フレンチ', 'ビストロ', '\n              パーテーションで区切られたプライベート空間で、 四季を感じる恵比寿のオーセンティックフレンチ\n            \nライチョウ始まりました。']","['パーテーション', 'プライベート', '空間', '四季', '恵比寿', 'オーセンティックフレンチ']","['19197776,174627789,179924018,179925142,179925168']"
65,鳥焼き 小花,恵比寿駅 604m,"['鳥料理', '\n              価格改定のお知らせ\n            \nカウンター席でいただく高級焼鳥']",3.74,72,"<span class=""c-rating-v3__val"">￥15,000～￥19,999</span>","<span class=""c-rating-v3__val"">-</span>","<span class=""list-rst__holiday-text"">日曜日　第1,第3月曜日</span>",['感染症対策'],"
              価格改定のお知らせ
            ","
カウンター席でいただく高級焼鳥",https://tabelog.com/tokyo/A1303/A130302/13265540/,"['鳥料理', '\n              価格改定のお知らせ\n            \nカウンター席でいただく高級焼鳥']","['価格', '改定', 'お知らせ']","['164448454,164448880,164448442,164448447,164448762']"
66,熟成鮨 万,広尾駅 909m,"['寿司', '\n              魚介の素材のみで熟成を完結。熟成鮨へと昇華\n            \n【不定期訪問5回目】拘りや拘り方が半端ない！恵比寿の隠れ家的鮨屋さん【熟成鮨万】']",3.74,64,"<span class=""c-rating-v3__val"">￥30,000～￥39,999</span>","<span class=""c-rating-v3__val"">-</span>","<span class=""list-rst__holiday-text"">日曜日</span>",['感染症対策'],"
              魚介の素材のみで熟成を完結。熟成鮨へと昇華
            ","
【不定期訪問5回目】拘りや拘り方が半端ない！恵比寿の隠れ家的鮨屋さん【熟成鮨万】",https://tabelog.com/tokyo/A1303/A130301/13225998/,"['寿司', '\n              魚介の素材のみで熟成を完結。熟成鮨へと昇華\n            \n【不定期訪問5回目】拘りや拘り方が半端ない！恵比寿の隠れ家的鮨屋さん【熟成鮨万】']","['魚介', '素材', '熟成', '完結', '熟成', '鮨', '昇華']","['153896934,153896935,153896939,153896940,153896942']"
67,ラ メゾン フィニステール,恵比寿駅 617m,"['フレンチ', 'ステーキ', '魚介料理・海鮮料理', '\n              贅沢個室で心に残る一皿を、1日2組限定‼恵比寿の小さなレストラン。\n            \n超絶オススメ！隠れ家フレンチ']",3.74,46,"<span class=""c-rating-v3__val"">￥15,000～￥19,999</span>","<span class=""c-rating-v3__val"">￥8,000～￥9,999</span>",,"['感染症対策', 'Tpoint貯まる・使える']","
              贅沢個室で心に残る一皿を、1日2組限定‼恵比寿の小さなレストラン。
            ","
超絶オススメ！隠れ家フレンチ",https://tabelog.com/tokyo/A1303/A130302/13213783/,"['フレンチ', 'ステーキ', '魚介料理・海鮮料理', '\n              贅沢個室で心に残る一皿を、1日2組限定‼恵比寿の小さなレストラン。\n            \n超絶オススメ！隠れ家フレンチ']","['贅沢', '個室', '心', '一', '皿', '1', '日', '2', '組', '限定', '‼', '恵比寿', 'レストラン']","['171465041,169141188,169140935,171465046,171470307']"
71,CINA New Modern Chinese,恵比寿駅 228m,"['中華料理', '中国鍋・火鍋', 'アジア・エスニック料理（その他）', '\n              ☆火鍋＆モダンチャイニーズ☆秋限定メニュー始まりました!☆24時間web予約受付中！\n            \n中華の最新進化形態']",3.73,591,"<span class=""c-rating-v3__val"">￥6,000～￥7,999</span>","<span class=""c-rating-v3__val"">￥1,000～￥1,999</span>",,"['感染症対策', 'Tpoint貯まる・使える']","
              ☆火鍋＆モダンチャイニーズ☆秋限定メニュー始まりました!☆24時間web予約受付中！
            ","
中華の最新進化形態",https://tabelog.com/tokyo/A1303/A130302/13200117/,"['中華料理', '中国鍋・火鍋', 'アジア・エスニック料理（その他）', '\n              ☆火鍋＆モダンチャイニーズ☆秋限定メニュー始まりました!☆24時間web予約受付中！\n            \n中華の最新進化形態']","['火', '鍋', 'モダン', 'チャイニーズ', '秋', '限定', 'メニュー', '24', '時間', 'web', '予約', '受付', '中']","['142280078,169351006,183310510,182005791,169350668']"
72,スーツァン・レストラン陳 渋谷店,渋谷駅 271m,"['四川料理', '\n              伝統と進化が織りなす繊細な四川料理。新進気鋭の若きシェフが紡ぐ次世代の中華は、ぜひワインで\n            None']",3.73,542,"<span class=""c-rating-v3__val"">￥15,000～￥19,999</span>","<span class=""c-rating-v3__val"">￥2,000～￥2,999</span>","<span class=""list-rst__holiday-text"">不定休</span>",['感染症対策'],"
              伝統と進化が織りなす繊細な四川料理。新進気鋭の若きシェフが紡ぐ次世代の中華は、ぜひワインで
            ",,https://tabelog.com/tokyo/A1303/A130301/13001909/,"['四川料理', '\n              伝統と進化が織りなす繊細な四川料理。新進気鋭の若きシェフが紡ぐ次世代の中華は、ぜひワインで\n            None']","['伝統', '進化', '繊細', '四', '川', '料理', '新進', '気鋭', '若き', 'シェフ', '次世代', '中華', 'ワイン']","['117659848,117659992,117659847,117659845,117659846']"
73,AU GAMIN DE TOKIO,恵比寿駅 622m,"['ビストロ', 'フレンチ', '鉄板焼き', '\n              調理の香り・音・工程をも見ながら味わえる フルオープンキッチン\n            \n【AU GAMIN DE TOKIO】系列店も全部美味い！外すことない絶品ビストロフレンチを体感']",3.73,262,"<span class=""c-rating-v3__val"">￥10,000～￥14,999</span>","<span class=""c-rating-v3__val"">￥3,000～￥3,999</span>",,"['感染症対策', 'Tpoint貯まる・使える']","
              調理の香り・音・工程をも見ながら味わえる フルオープンキッチン
            ","
【AU GAMIN DE TOKIO】系列店も全部美味い！外すことない絶品ビストロフレンチを体感",https://tabelog.com/tokyo/A1303/A130302/13049720/,"['ビストロ', 'フレンチ', '鉄板焼き', '\n              調理の香り・音・工程をも見ながら味わえる フルオープンキッチン\n            \n【AU GAMIN DE TOKIO】系列店も全部美味い！外すことない絶品ビストロフレンチを体感']","['調理', '香り', '音', '工程', 'フルオープンキッチン']","['93528967,139450127,93528965,93528962,170477354']"
74,カルネジーオ イースト,恵比寿駅 170m,"['イタリアン', 'ビストロ', 'ステーキ', '\n              11/28（月）20時以降お席あります！\n            \nステーキだけじゃない。最高のステーキ×和イタリアンのコース体験！']",3.73,235,"<span class=""c-rating-v3__val"">￥8,000～￥9,999</span>","<span class=""c-rating-v3__val"">￥8,000～￥9,999</span>","<span class=""list-rst__holiday-text"">火曜日</span>",['感染症対策'],"
              11/28（月）20時以降お席あります！
            ","
ステーキだけじゃない。最高のステーキ×和イタリアンのコース体験！",https://tabelog.com/tokyo/A1303/A130302/13211666/,"['イタリアン', 'ビストロ', 'ステーキ', '\n              11/28（月）20時以降お席あります！\n            \nステーキだけじゃない。最高のステーキ×和イタリアンのコース体験！']","['1128', '月', '20', '時', '以降', '席']","['73793515,73794278,73794380,73793516,73793513']"
75,代官山 鮨 たけうち,代官山駅 458m,"['寿司', '魚介料理・海鮮料理', '日本酒バー', '\n              路地裏に佇む鮨店。時の流れを忘れるかのような空間で、美味しい鮨と魚を堪能。特別なひと時に。\n            \n▷代官山の穴場鮨◁']",3.73,119,"<span class=""c-rating-v3__val"">￥20,000～￥29,999</span>","<span class=""c-rating-v3__val"">￥6,000～￥7,999</span>",,"['感染症対策', 'Tpoint貯まる・使える']","
              路地裏に佇む鮨店。時の流れを忘れるかのような空間で、美味しい鮨と魚を堪能。特別なひと時に。
            ","
▷代官山の穴場鮨◁",https://tabelog.com/tokyo/A1303/A130303/13210936/,"['寿司', '魚介料理・海鮮料理', '日本酒バー', '\n              路地裏に佇む鮨店。時の流れを忘れるかのような空間で、美味しい鮨と魚を堪能。特別なひと時に。\n            \n▷代官山の穴場鮨◁']","['路地', '裏', '鮨', '店', '時', '流れ', 'よう', '空間', '美味しい', '鮨', '魚', '堪能', '特別', 'ひと', '時']","['70590985,70586204,70587521,70586726,70586658']"
76,鮨結う翼,恵比寿駅 97m,"['寿司', '\n              12月4日の12時に1席空きがございます。よろしくお願いいたします。\n            None']",3.73,113,"<span class=""c-rating-v3__val"">￥10,000～￥14,999</span>","<span class=""c-rating-v3__val"">￥10,000～￥14,999</span>","<span class=""list-rst__holiday-text"">火曜・水曜を中心に月8日休み※その他お休みをいただくこ...</span>",['感染症対策'],"
              12月4日の12時に1席空きがございます。よろしくお願いいたします。
            ",,https://tabelog.com/tokyo/A1303/A130302/13260600/,"['寿司', '\n              12月4日の12時に1席空きがございます。よろしくお願いいたします。\n            None']","['12', '月', '4', '日', '12', '時', '1', '席', '空き', 'お願い']","['154939233,154939119,154939278,154939275,154939287']"
